tag_label,tag_id,market_id,market_slug,question,clob_token_ids
economy,100328,824952,microstrategy-sells-any-bitcoin-by-december-31-2026,"MicroStrategy sells any Bitcoin by December 31, 2026?","[""111128191581505463501777127559667396812474366956707382672202929745167742497287"", ""99807503632459517030616292055983105381849115736225256331133222076990620978808""]"
economy,100328,692250,microstrategy-sells-any-bitcoin-by-march-31-2026,"MicroStrategy sells any Bitcoin by March 31, 2026?","[""108547978327958467449318042977006580876058560639743186491243488736783119648127"", ""61476326573463890939120700176570456436619008823217970387484180237661307640203""]"
economy,100328,692258,microstrategy-sells-any-bitcoin-by-june-30-2026,"MicroStrategy sells any Bitcoin by June 30, 2026?","[""110251828161543119357013227499774714771527179764174739487025581227481937033858"", ""65176388692130651396848427090788038285140833850265294793449655516920659740141""]"
economy,100328,526939,brazil-unemployment-below-6pt3-for-q4-2025,Brazil unemployment below 6.3% for Q4 2025?,"[""86130975769502911188457673769190265049139877688522439001984850068234616395137"", ""115669573443672055876643967408433138119481486650803218131873713375232186497057""]"
economy,100328,533851,negative-gdp-growth-in-2025,Negative GDP growth in 2025?,"[""65570440056117077542463878494177612662140785434913628124381440406242436241630"", ""93382483372490196259599806079407160203979679994486135406898952073842583559283""]"
economy,100328,576876,will-us-gdp-growth-in-2025-be-less-than-0pt5,Will US GDP growth in 2025 be less than 0.5%?,"[""93236282658111979159320180999275225033025321083005329766677547768290977760323"", ""68097095084852059927226934384844733445711105748012199994123009335342819241242""]"
economy,100328,576877,will-us-gdp-growth-in-2025-be-between-0pt5-and-1pt0,Will US GDP growth in 2025 be between 0.5% and 1.0%?,"[""52050746234342662722944164611770366361356411537116700536699714495312321351266"", ""93804609061983629641017043829248235412871993191956251645740188176426412187758""]"
economy,100328,576878,will-us-gdp-growth-in-2025-be-between-1pt0-and-1pt5,Will US GDP growth in 2025 be between 1.0% and 1.5%?,"[""90516619390494457851160289611234777024586620796413226659482210307129605212267"", ""100345857693591115399427939282121160012030005246328577225136154263018762062700""]"
economy,100328,576879,will-us-gdp-growth-in-2025-be-between-1pt5-and-2pt0,Will US GDP growth in 2025 be between 1.5% and 2.0%?,"[""64636956979664924281112632890582512477072568746251062499472746167647547057659"", ""27343743414957087792132755489717809036735234147028320549451531367515679132047""]"
economy,100328,576880,will-us-gdp-growth-in-2025-be-between-2pt0-and-2pt5,Will US GDP growth in 2025 be between 2.0% and 2.5%?,"[""82061785917705076236548898020239512245804081718353415437404593579600471547046"", ""44750597693157889124810332391317675284208209352899152696585601895225121206107""]"
economy,100328,576881,will-us-gdp-growth-in-2025-be-greater-than-2pt5,Will US GDP growth in 2025 be greater than 2.5%?,"[""53878687881372296840643404422879609046161113624304869713031188462369519751462"", ""7781128617775379429370059157264862153354283943832661953096847794102113820322""]"
economy,100328,601697,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,Fed decreases interest rates by 50+ bps after January 2026 meeting?,"[""11862165566757345985240476164489718219056735011698825377388402888080786399275"", ""71478852790279095447182996049071040792010759617668969799049179229104800573786""]"
economy,100328,601698,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,Fed decreases interest rates by 25 bps after January 2026 meeting?,"[""92703761682322480664976766247614127878023988651992837287050266308961660624165"", ""48193521645113703700467246669338225849301704920590102230072263970163239985027""]"
economy,100328,601699,no-change-in-fed-interest-rates-after-january-2026-meeting,No change in Fed interest rates after January 2026 meeting?,"[""112838095111461683880944516726938163688341306245473734071798778736646352193304"", ""7321318078891059430231591636389479745928915782241484131001985601124919020061""]"
economy,100328,601700,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,Fed increases interest rates by 25+ bps after January 2026 meeting?,"[""16419649354067298412736919830777830730026677464626899811394461690794060330642"", ""42139849929574046088630785796780813725435914859433767469767950066058132350666""]"
economy,100328,609655,us-recession-by-end-of-2026,US recession by end of 2026?,"[""100379208559626151022751801118534484742123694725746262280150222742563282755057"", ""113732820231608904682346496304917888352004831436510840986547065248348999143469""]"
economy,100328,616902,will-no-fed-rate-cuts-happen-in-2026,Will no Fed rate cuts happen in 2026?,"[""12403602920039269077597917340921667997547115084613238528792639013246536343316"", ""21294592205022969346730955103773391901993330222644504059576935265667917187903""]"
economy,100328,616903,will-1-fed-rate-cut-happen-in-2026,Will 1 Fed rate cut happen in 2026?,"[""113379839734351069617987084078322474966003108854908079701423911002443710490196"", ""48058805012599375970268777474956242772204241523361869981040579395242001094965""]"
economy,100328,616904,will-2-fed-rate-cuts-happen-in-2026,Will 2 Fed rate cuts happen in 2026?,"[""72535544017897924722695722172278828562733090748474862987195303914909938482758"", ""81407142104509110921187520775072626840789848613047331773172953370174825669358""]"
economy,100328,616905,will-3-fed-rate-cuts-happen-in-2026,Will 3 Fed rate cuts happen in 2026?,"[""95835705062472305459663741402900736177330733688944910993896545106260819635212"", ""52125994957619926233854688437715340370114575617673092175221127058976458963420""]"
economy,100328,616906,will-4-fed-rate-cuts-happen-in-2026,Will 4 Fed rate cuts happen in 2026?,"[""73197441127256680134600821323583356037261213281680365433623681075249556019477"", ""71677612305244936641085500097737038199081845621961106192204236262687669821119""]"
economy,100328,616907,will-5-fed-rate-cuts-happen-in-2026,Will 5 Fed rate cuts happen in 2026?,"[""29213252446661789250484965446100709214117256176608501943249094649759520097655"", ""39766939694460004925290266709531635660902081793543974711598767930913394552857""]"
economy,100328,616908,will-6-fed-rate-cuts-happen-in-2026,Will 6 Fed rate cuts happen in 2026?,"[""77531340423610587330488971960018210147778793548713753738604838920212617696839"", ""82580329456069960430455853606847264180718690130912450048527873419398759263654""]"
economy,100328,616909,will-7-fed-rate-cuts-happen-in-2026,Will 7 Fed rate cuts happen in 2026?,"[""83225062900867600837789591190756506957715645312465902979999093167287051133800"", ""70694980832312500201330660753738089732275716848386256819010620597664479406765""]"
economy,100328,616910,will-8-fed-rate-cuts-happen-in-2026,Will 8 Fed rate cuts happen in 2026?,"[""79224949855948800840589557145654317659028242814072850811675646040486360279565"", ""87675042073148826481646804686739465454480607542088274413944712124354466628470""]"
economy,100328,616911,will-9-fed-rate-cuts-happen-in-2026,Will 9 Fed rate cuts happen in 2026?,"[""23126031577449775652876745717301519312850542565907124407036782701549610893044"", ""104942649192609913825700442400757579142602100704286281267464239496183536823685""]"
economy,100328,616912,will-10-fed-rate-cuts-happen-in-2026,Will 10 Fed rate cuts happen in 2026?,"[""101699865858660601590309838387762714166224752219273014726406345404403204943713"", ""66183284712764802657795502795552404612971669672765842666767416251669427449952""]"
